fokontany,commune,district,region,province
Ambohitsara,Soavina,Betafo,Vakinankaratra,Antananarivo
Alakamisy,Soavina,Betafo,Vakinankaratra,Antananarivo
Morarano,Soavina,Betafo,Vakinankaratra,Antananarivo
Antanety,Soavina,Betafo,Vakinankaratra,Antananarivo
Manakana I,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Marofototra,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Ampasimbola,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Ambalavia,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Ambodivoangy I,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Ambohimalaza,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Analamazava I,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Marosika II,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Ambalakondro,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Fenoarivo Tsienimboay,Soaserana,Manja,Menabe,Toliara
Soaserana,Soaserana,Manja,Menabe,Toliara
Anderika,Soaserana,Manja,Menabe,Toliara
Sonjoandrano,Soatanana,Isandra,Matsiatra Ambony,Fianarantsoa
Ampolatany,Soatanana,Isandra,Matsiatra Ambony,Fianarantsoa
Sahandrarezona,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Iharanany Atsinanana,Talata Ampano,Vohibato,Matsiatra Ambony,Fianarantsoa
Vohidroa,Talata Ampano,Vohibato,Matsiatra Ambony,Fianarantsoa
Tanandava,Talata Ampano,Vohibato,Matsiatra Ambony,Fianarantsoa
Tanjombita,Talata Ampano,Vohibato,Matsiatra Ambony,Fianarantsoa
Ialadalangy,Talata Ampano,Vohibato,Matsiatra Ambony,Fianarantsoa
Andromasy,Tanandava,Bekily,Androy,Toliara
Andriapitoarivo,Tatamalaza,Fandriana,Amoron'i Mania,Fianarantsoa
Tsimadilo,Tatamalaza,Fandriana,Amoron'i Mania,Fianarantsoa
Antaponikelipetaka,Tatamalaza,Fandriana,Amoron'i Mania,Fianarantsoa
Ampihaonana,Toamasina Suburbaine,Toamasina II,Atsinanana,Toamasina
Aniso,Tsarazaza,Fandriana,Amoron'i Mania,Fianarantsoa
Ranomainty Bemasoandro,Tsarazaza,Fandriana,Amoron'i Mania,Fianarantsoa
Antanetilehibe,Tsarazaza,Fandriana,Amoron'i Mania,Fianarantsoa
Antanety,Tsarazaza,Fandriana,Amoron'i Mania,Fianarantsoa
Andriakely,Tsarazaza,Fandriana,Amoron'i Mania,Fianarantsoa
Manaovasoa,Vinaninony Atsimo,Faratsiho,Vakinankaratra,Antananarivo
Telomirefy Soahiadanana,Vinaninony Atsimo,Faratsiho,Vakinankaratra,Antananarivo
Ambohimahasoa II,Vinaninony Atsimo,Faratsiho,Vakinankaratra,Antananarivo
Ambohitrarivo Mahasoa,Vinaninony Atsimo,Faratsiho,Vakinankaratra,Antananarivo
Ambohimanarivo,Vohimasina Nord,Manakara Atsimo,Fitovinany,Fianarantsoa
Vohitromby,Vohitromby,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Mahabo Ambany,Vohitromby,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Iaborano,Vohitromby,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Vohilava,Vohitromby,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Andranoboaka,Vohitromby,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Vohijanahary,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Soavina,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Maroharatra,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Betampona II,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Vinanitelo Sud,Vinanitelo,Vohibato,Matsiatra Ambony,Fianarantsoa
Ratsimanahy,Vohimary,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Antesonjo,Vohimary,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Andotsy,Vohimasina Nord,Manakara Atsimo,Fitovinany,Fianarantsoa
Masindrota,Vohimasina Nord,Manakara Atsimo,Fitovinany,Fianarantsoa
Sahamahitsy I,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Sahanimborona,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Tsaralazaina,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Ampasimaniona,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Ampitabe I,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Samilahy,Soatanana,Isandra,Matsiatra Ambony,Fianarantsoa
Tandemoka,Soatanana,Isandra,Matsiatra Ambony,Fianarantsoa
Marokibo,Soavary,Taolagnaro,Anosy,Toliara
Maroroy,Soavary,Taolagnaro,Anosy,Toliara
Soavary,Soavary,Taolagnaro,Anosy,Toliara
Ambohimanarivo,Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Rangaina,Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Tsarasaotra,Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Amboahangy,Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Soavinandriana,Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Andranobe I,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Ambalavero II,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Andapa,Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Ambohimanatrika,Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Fierenana Est,Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Miavotra,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Mampiherika,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Andranomanoa,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Androhimainty,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ambohidanerana,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Andasinimiaramila,Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Ambohidava,Soavinandriana,Manjakandriana,Analamanga,Antananarivo
Mahatsinjo,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Andakana,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ampahimanga,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ambohitraina,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Fidasiana,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Antorapasika,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Tanjombato,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ambohimiarintsoa,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Antranoroa,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ambatombositra,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Avaratsena,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ambodivontaka,Tsarasambo,Vatomandry,Atsinanana,Toamasina
Tsarasambo,Tsarasambo,Vatomandry,Atsinanana,Toamasina
Ambohitraivo,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Faralaza,Talatamaty,Ambohidratrimo,Analamanga,Antananarivo
Leobondro,Tameantsoa,Betioky Atsimo,Atsimo-Andrefana,Toliara
Soavinandriana Ambony,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Antsahalavabe,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ankeniheny Miray Hina,Tanjombato,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ambohimanatrika Mivoatra,Tanjombato,Antananarivo Atsimondrano,Analamanga,Antananarivo
Tsarazaza,Tsarasaotra,Ambositra,Amoron'i Mania,Fianarantsoa
Ambohipia,Tsarasaotra,Ambositra,Amoron'i Mania,Fianarantsoa
Miarinarivo,Tsarasaotra,Ambositra,Amoron'i Mania,Fianarantsoa
Tsarasaotra,Tsarasaotra,Ambositra,Amoron'i Mania,Fianarantsoa
Tranolava,Tsarasaotra,Ambositra,Amoron'i Mania,Fianarantsoa
Andonabe,Tsaravinany,Anosibe-An'ala,Alaotra-Mangoro,Toamasina
Ambohimandroso,Tsaravinany,Anosibe-An'ala,Alaotra-Mangoro,Toamasina
Tsaravinany,Tsaravinany,Anosibe-An'ala,Alaotra-Mangoro,Toamasina
Marofaria,Tsarasambo,Vatomandry,Atsinanana,Toamasina
Ambohipierenana,Tsarasaotra,Ambositra,Amoron'i Mania,Fianarantsoa
Ampandrana,Tsarasaotra,Ambositra,Amoron'i Mania,Fianarantsoa
Sahafaray,Tanibe,Mananara-Avaratra,Ambatosoa,Toamasina
Tongarivo Mandroso,Tanjombato,Antananarivo Atsimondrano,Analamanga,Antananarivo
Bekotika,Tameantsoa,Betioky Atsimo,Atsimo-Andrefana,Toliara
Lazarivo,Tameantsoa,Betioky Atsimo,Atsimo-Andrefana,Toliara
Tanambao Bemoky,Tameantsoa,Betioky Atsimo,Atsimo-Andrefana,Toliara
Belitsaky,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Ambatomitsangana,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Besatra,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Ampandramaro,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Ihotry,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Andraketa,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Tongobory,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Satrapotsy,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Antevamena,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Vohibe,Tongobory,Betioky Atsimo,Atsimo-Andrefana,Toliara
Tovona,Tovona,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Sarahambendra,Tovona,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambohimandiny,Tsaravinany,Anosibe-An'ala,Alaotra-Mangoro,Toamasina
Ambodihazovelona,Tsaravinany,Anosibe-An'ala,Alaotra-Mangoro,Toamasina
Marolaona,Tsiroanomandidy Fihaonana,Tsiroanomandidy,Bongolava,Antananarivo
Amparihibe,Tsiroanomandidy Fihaonana,Tsiroanomandidy,Bongolava,Antananarivo
Ankilimary,Tameantsoa,Betioky Atsimo,Atsimo-Andrefana,Toliara
Sahafatra,Tovona,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Bemahala,Tovona,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Anaviavy,Tovona,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Fenoarivo,Tovona,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Tsararano,Tsararano,Marovoay,Boeny,Mahajanga
Ambatomboromahery,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Ambohimiarina,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Mandanilasiray,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Ambarijeby,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Miadandririnina,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Andranomangatsiaka,Tsararano,Marovoay,Boeny,Mahajanga
Tsiasesy,Tsararano,Marovoay,Boeny,Mahajanga
Bekalila,Tsararano,Marovoay,Boeny,Mahajanga
Bevary,Tsararano,Marovoay,Boeny,Mahajanga
Matsitso,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Ampaho,Tsarasambo,Vatomandry,Atsinanana,Toamasina
Mahanoro,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Marovoara,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Tsaratanana,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Sahavia,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Nosi Be,Sitampiky,Ambato Boeni,Boeny,Mahajanga
Tondraka,Sitampiky,Ambato Boeni,Boeny,Mahajanga
Majeramanga,Sitampiky,Ambato Boeni,Boeny,Mahajanga
Manakana,Sitampiky,Ambato Boeni,Boeny,Mahajanga
Antafia,Sitampiky,Ambato Boeni,Boeny,Mahajanga
Fanorahana,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Vanono,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Ankoba II,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Antanambao Sahavalanina,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Madiorano,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Anjiabe,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Analanantsiaka,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Ambodimanga II,Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Ambatolahihazo,Vasiana,Mandoto,Vakinankaratra,Antananarivo
Ambolofotsy,Vavatenina,Vavatenina,Analanjirofo,Toamasina
Mahatsinjo,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Androfiabe,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Tanambao,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Tsararova,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Tsitiasofina,Tsararova,Tsaratanana,Betsiboka,Mahajanga
Andriankely,Viliahazo,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambahona,Viliahazo,Antananarivo Avaradrano,Analamanga,Antananarivo
Antsahakely,Viliahazo,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambohidrano Atsinanana,Viliahazo,Antananarivo Avaradrano,Analamanga,Antananarivo
Andranohandrona,Viliahazo,Antananarivo Avaradrano,Analamanga,Antananarivo
Antanandava,Bemokotra,Maevatanana,Betsiboka,Mahajanga
Maevarano,Bemokotra,Maevatanana,Betsiboka,Mahajanga
Anjiakely,Bemokotra,Maevatanana,Betsiboka,Mahajanga
Bemokotra,Bemokotra,Maevatanana,Betsiboka,Mahajanga
Anosikely,Bemokotra,Maevatanana,Betsiboka,Mahajanga
Kimanambolo Sud,Veromanga,Maintirano,Melaky,Mahajanga
Tetezananahary,Veromanga,Maintirano,Melaky,Mahajanga
Veromanga,Veromanga,Maintirano,Melaky,Mahajanga
Ambovona Atsimo,Viliahazo,Antananarivo Avaradrano,Analamanga,Antananarivo
Anosimanjaka,Viliahazo,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambohitompo,Viliahazo,Antananarivo Avaradrano,Analamanga,Antananarivo
Tsaramandroso Morafeno,Vinaninony Atsimo,Faratsiho,Vakinankaratra,Antananarivo
Ambohimanarivo,Vinaninony Atsimo,Faratsiho,Vakinankaratra,Antananarivo
Mananetivohitra,Vinaninony Atsimo,Faratsiho,Vakinankaratra,Antananarivo
Mavoroa,Bemokotra,Maevatanana,Betsiboka,Mahajanga
Bemokotra Sud,Bemokotra Sud,Maintirano,Melaky,Mahajanga
Ankoromokoty,Bemokotra Sud,Maintirano,Melaky,Mahajanga
Benato Toby,Benato Toby,Betroka,Anosy,Toliara
Sambalahy,Benato Toby,Betroka,Anosy,Toliara
Ambinda Sud,Benato Toby,Betroka,Anosy,Toliara
Ambatovita,Benato Toby,Betroka,Anosy,Toliara
Benonoky,Ivondro,Midongy-Atsimo,Atsimo-Atsinanana,Fianarantsoa
Sahatsoro,Ivondro,Midongy-Atsimo,Atsimo-Atsinanana,Fianarantsoa
Mahatsinjo,Mahatsinjo,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Ambalabe Mahatsara,Mahatsinjo,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Ambodisakoa,Bemokotra,Maevatanana,Betsiboka,Mahajanga
Amborokontsy,Bemokotra Sud,Maintirano,Melaky,Mahajanga
Antsafy,Bemokotra Sud,Maintirano,Melaky,Mahajanga
Ankerabe,Bemokotra Sud,Maintirano,Melaky,Mahajanga
Sarodrano,Bemokotra Sud,Maintirano,Melaky,Mahajanga
Ambohimanana,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ambohibary,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Fiantsonana,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ampiakarana,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ambohimita,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Faravohitra,Mahatsinjo Est,Arivonimamo,Itasy,Antananarivo
Mahatsinjo Est,Mahatsinjo Est,Arivonimamo,Itasy,Antananarivo
Ankazondandy,Mahatsinjo Est,Arivonimamo,Itasy,Antananarivo
Bongavato,Mahatsinjo Est,Arivonimamo,Itasy,Antananarivo
Ampotaka Atsimo,Mahatsinjo,Maevatanana,Betsiboka,Mahajanga
Merikandrefana,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Tamoronala Firaisana,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Manoroanja,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Ampitsaharana,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Sahapetraka,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Manjakavaradrano,Mahatsinjo,Maevatanana,Betsiboka,Mahajanga
Mamoriarivo,Mahatsinjo,Maevatanana,Betsiboka,Mahajanga
Morarano,Mahatsinjo,Maevatanana,Betsiboka,Mahajanga
Andranovelona,Mahatsinjo,Maevatanana,Betsiboka,Mahajanga
Sahavoara,Mahatsinjo,Maevatanana,Betsiboka,Mahajanga
Maroala,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Ampasina,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambolosy,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Manjarivo,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Maroantova,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambodinato,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Nosivelo,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Belongoza,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Ankarimalaza,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Sandrarafa,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Ipaka,Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Ankazomanga,Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Kirano,Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Soanierana,Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Solila,Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Ampitabao,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Sahalapa,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Ampataka,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Ampitabe,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Fenoarivo,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Andranombary,Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Taindambo,Taindambo,Lalangina,Matsiatra Ambony,Fianarantsoa
Manaotsara,Taindambo,Lalangina,Matsiatra Ambony,Fianarantsoa
Ambalasarotra,Taindambo,Lalangina,Matsiatra Ambony,Fianarantsoa
Ambatomena,Taindambo,Lalangina,Matsiatra Ambony,Fianarantsoa
Maromangaika,Taindambo,Lalangina,Matsiatra Ambony,Fianarantsoa
Sevaina,Taindambo,Lalangina,Matsiatra Ambony,Fianarantsoa
Marodinta,Talata Ampano,Vohibato,Matsiatra Ambony,Fianarantsoa
Mahatsanda,Talata Ampano,Vohibato,Matsiatra Ambony,Fianarantsoa
Langela,Talata Ampano,Vohibato,Matsiatra Ambony,Fianarantsoa
Ambohijafy,Talata Angavo,Ankazobe,Analamanga,Antananarivo
Amboanjo,Talata Angavo,Ankazobe,Analamanga,Antananarivo
Sarodrivotra,Talata Angavo,Ankazobe,Analamanga,Antananarivo
Ambohimasina,Talata Angavo,Ankazobe,Analamanga,Antananarivo
Manontanitsiloza,Talata Angavo,Ankazobe,Analamanga,Antananarivo
Talata Angavo,Talata Angavo,Ankazobe,Analamanga,Antananarivo
Androva Atsimo,Talata Angavo,Ankazobe,Analamanga,Antananarivo
Ambohimanarina,Talata Angavo,Ankazobe,Analamanga,Antananarivo
Tsaramasoandro,Talata Angavo,Ankazobe,Analamanga,Antananarivo
Sahamandresy,Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Tsararano,Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Ranomafana,Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Namirana,Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Matoka,Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Vohimena Andrefana,Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Ambohibao,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambatomitsangana,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Antanambao,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambodifahitra,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Talata Volonondry,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Kelifaritra,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambohidrabiby,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambatondralambo,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambodiala,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Ampahidralambo,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Talata Vohimena,Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Sahafatra,Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Ambalamanandray,Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Ambohitrantenaina,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Tsarahonenana,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Fonohasina,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Ampanataovana,Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Tanjondava,Talatamaty,Ambohidratrimo,Analamanga,Antananarivo
Mamory Miray Antoby,Talatamaty,Ambohidratrimo,Analamanga,Antananarivo
Fitroafana,Talatamaty,Ambohidratrimo,Analamanga,Antananarivo
Miaramanana,Tamponala,Soavinandriana,Itasy,Antananarivo
Ambohimanarivo,Tamponala,Soavinandriana,Itasy,Antananarivo
Ambalabararata,Tamponala,Soavinandriana,Itasy,Antananarivo
Amparihilava,Tamponala,Soavinandriana,Itasy,Antananarivo
Tamponala,Tamponala,Soavinandriana,Itasy,Antananarivo
Mandriambero,Talatamaty,Ambohidratrimo,Analamanga,Antananarivo
Ranomay,Tameantsoa,Betioky Atsimo,Atsimo-Andrefana,Toliara
Androvakely,Tameantsoa,Betioky Atsimo,Atsimo-Andrefana,Toliara
Tameantsoa,Tameantsoa,Betioky Atsimo,Atsimo-Andrefana,Toliara
Ambohipihaonana,Tamponala,Soavinandriana,Itasy,Antananarivo
Miaramasoandro,Tamponala,Soavinandriana,Itasy,Antananarivo
Ambatolampikely,Tamponala,Soavinandriana,Itasy,Antananarivo
Vohiteny,Tanakambana,Ikongo,Fitovinany,Fianarantsoa
Fanjakasoa,Tanakambana,Ikongo,Fitovinany,Fianarantsoa
Vohilava,Tanakambana,Ikongo,Fitovinany,Fianarantsoa
Nanarena,Tanakambana,Ikongo,Fitovinany,Fianarantsoa
Sahampaly,Tanakambana,Ikongo,Fitovinany,Fianarantsoa
Vohiboanjo,Tanakambana,Ikongo,Fitovinany,Fianarantsoa
Tanakambana,Tanakambana,Ikongo,Fitovinany,Fianarantsoa
Mafitoaka,Tanakambana,Ikongo,Fitovinany,Fianarantsoa
Anosilava,Soavinandriana,Soavinandriana,Itasy,Antananarivo
Tearomizaha,Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Ambalamahatsara,Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Ambatovory,Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Fihasinana,Solila,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Tanamarina,Tanamarina Bekisopa,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Betokolava,Tanamarina Bekisopa,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Tanamarina,Tanamarina Sakay,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Antsamby,Tanamarina Sakay,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Fompohony,Tanamarina Sakay,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Andranomena,Tanambao Daoud,Sambava,Sava,Antsiranana
Anjala,Tanambao Daoud,Sambava,Sava,Antsiranana
Ambatamandry,Tanambao Daoud,Sambava,Sava,Antsiranana
Ambatomalaza,Tanambao Daoud,Sambava,Sava,Antsiranana
Mosorobe,Tanambao Daoud,Sambava,Sava,Antsiranana
Mosorokely,Tanambao Daoud,Sambava,Sava,Antsiranana
Ambodimandrorofo,Tanambao Daoud,Sambava,Sava,Antsiranana
Mahasoa,Tanambao Daoud,Sambava,Sava,Antsiranana
Tanambao Daoud,Tanambao Daoud,Sambava,Sava,Antsiranana
Andramanolotra,Tanambao Daoud,Sambava,Sava,Antsiranana
Ambodibonara,Tanambao Daoud,Sambava,Sava,Antsiranana
Antsahamazava,Tanambao Daoud,Sambava,Sava,Antsiranana
Ambodimanga,Tanambao Daoud,Sambava,Sava,Antsiranana
Marevokasara,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Betaly,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Befamoty,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Andromasy I,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Beadabo II,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Beadabo I,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Fenoarivo I,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Ambatovory,Tanamary,Beroroha,Atsimo-Andrefana,Toliara
Tanambao Besakay,Tanambao Besakay,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Mandanivatsy,Tanambao Besakay,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Anjiro,Tanambao Besakay,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Andriambe,Tanambao Besakay,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Tanambao Satrapotsy,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Ankilimaroanaka,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Tanambao Ambony,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Besatra,Tanambao Haut,Betioky Atsimo,Atsimo-Andrefana,Toliara
Betsimiranjana,Tanambao Marivorahona,Ambilobe,Diana,Antsiranana
Ambalamahasoa,Tanamarina Sakay,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Manomboarivo,Tanamarina Sakay,Ikalamavony,Matsiatra Ambony,Fianarantsoa
Tanamary,Tanamary,Beroroha,Atsimo-Andrefana,Toliara
Tsihiriky,Tanamary,Beroroha,Atsimo-Andrefana,Toliara
Andranomena,Tanamary,Beroroha,Atsimo-Andrefana,Toliara
Antsatrambalo,Tanambao Marivorahona,Ambilobe,Diana,Antsiranana
Isesy,Tanambao Marivorahona,Ambilobe,Diana,Antsiranana
Tanambao Marivorahona,Tanambao Marivorahona,Ambilobe,Diana,Antsiranana
