fokontany,commune,district,region,province
Ambavala,Andrahanjo,Sambava,Sava,Antsiranana
Tambikandrefana,Andrainjato Centre,Lalangina,Matsiatra Ambony,Fianarantsoa
Andohamerina,Andrainjato Centre,Lalangina,Matsiatra Ambony,Fianarantsoa
Hoditrazo,Andrainjato Centre,Lalangina,Matsiatra Ambony,Fianarantsoa
Maevatananan'ifosa,Anjangoveratra,Sambava,Sava,Antsiranana
Tanambao Ifosa,Anjangoveratra,Sambava,Sava,Antsiranana
Ambodisambalahy,Anjangoveratra,Sambava,Sava,Antsiranana
Ampamintanana,Anjangoveratra,Sambava,Sava,Antsiranana
Ambavala,Anjangoveratra,Sambava,Sava,Antsiranana
Anjombalava,Anjangoveratra,Sambava,Sava,Antsiranana
Ambodivohitra,Anjangoveratra,Sambava,Sava,Antsiranana
Seranampotaka,Anjangoveratra,Sambava,Sava,Antsiranana
Ankiakabe,Anjangoveratra,Sambava,Sava,Antsiranana
Antanambazaha,Anjangoveratra,Sambava,Sava,Antsiranana
Andraravola,Ankadinandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
Morarano,Ankadinandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
Fihasinana,Ankadinandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambohitromby,Ankadinandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
Andranovelona,Ankadinandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
Lalamby Sy Ny Manodidina,1er Arrondissement,1er Arrondissement,Analamanga,Antananarivo
Antohomadinika Atsimo,1er Arrondissement,1er Arrondissement,Analamanga,Antananarivo
Bemandotra,Androvakely,Anjozorobe,Analamanga,Antananarivo
Beanana,Androvakely,Anjozorobe,Analamanga,Antananarivo
Mananjaran'ifosa,Anjangoveratra,Sambava,Sava,Antsiranana
Antanetibe Maromby,Ankadinandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
Mizahamiorika,Ankazotsifantatra,Mahanoro,Atsinanana,Toamasina
Andihona II,Ankazotsifantatra,Mahanoro,Atsinanana,Toamasina
Ambodilalona I,Ankazotsifantatra,Mahanoro,Atsinanana,Toamasina
Ambatofotsy,Ankazotsifantatra,Mahanoro,Atsinanana,Toamasina
Antafiamirango,Andranoboka,Mahajanga II,Boeny,Mahajanga
Andranoboka,Andranoboka,Mahajanga II,Boeny,Mahajanga
Labandy,Andranoboka,Mahajanga II,Boeny,Mahajanga
Ambodiala,Andranoboka,Mahajanga II,Boeny,Mahajanga
Mangabe,Andranoboka,Mahajanga II,Boeny,Mahajanga
Alatsinainy,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Ambalatondroina,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Antandrokomby I,Andohariana,Andramasina,Analamanga,Antananarivo
Ambatofotsy,Andohariana,Andramasina,Analamanga,Antananarivo
Amby,Andohariana,Andramasina,Analamanga,Antananarivo
Vohilavakely,Andranomavo,Mananjary,Vatovavy,Fianarantsoa
Ambodiaviavy,Andranomavo,Mananjary,Vatovavy,Fianarantsoa
Maromitety,Andranomavo,Mananjary,Vatovavy,Fianarantsoa
